player,player_id,team,team_id,data_country,data_season,minutesPlayed,appearances,matchesStarted,rating,goals,assists,goalsAssistsSum,expectedGoals,expectedAssists,accurateChippedPasses,accurateCrosses,accurateCrossesPercentage,accurateFinalThirdPasses,accurateLongBalls,accurateLongBallsPercentage,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePasses,accuratePassesPercentage,aerialDuelsWon,aerialDuelsWonPercentage,aerialLost,attemptPenaltyMiss,attemptPenaltyPost,attemptPenaltyTarget,ballRecovery,bigChancesCreated,bigChancesMissed,blockedShots,cleanSheet,clearances,countRating,crossesNotClaimed,directRedCards,dispossessed,dribbledPast,duelLost,errorLeadToGoal,errorLeadToShot,fouls,freeKickGoal,goalConversionPercentage,goalKicks,goalsConceded,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,goalsFromInsideTheBox,goalsFromOutsideTheBox,goalsPrevented,groundDuelsWon,groundDuelsWonPercentage,headedGoals,highClaims,hitWoodwork,inaccuratePasses,interceptions,keyPasses,leftFootGoals,offsides,outfielderBlocks,ownGoals,passToAssist,penaltiesTaken,penaltyConceded,penaltyConversion,penaltyFaced,penaltyGoals,penaltySave,penaltyWon,possessionLost,possessionWonAttThird,punches,redCards,rightFootGoals,runsOut,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,saves,savesCaught,savesParried,scoringFrequency,setPieceConversion,shotFromSetPiece,shotsFromInsideTheBox,shotsFromOutsideTheBox,shotsOffTarget,shotsOnTarget,successfulDribbles,successfulDribblesPercentage,successfulRunsOut,tackles,tacklesWon,tacklesWonPercentage,totalAttemptAssist,totalChippedPasses,totalContest,totalCross,totalDuelsWon,totalDuelsWonPercentage,totalLongBalls,totalOppositionHalfPasses,totalOwnHalfPasses,totalPasses,totalRating,totalShots,totwAppearances,touches,wasFouled,yellowCards,yellowRedCards
Lionel Messi,12994,Barcelona,2817,spain,2021,3023,35,33,8.33,30,9,39,,,88,35,27.78,1069,71,73.96,1672,277,1914,85.14,7,41.18,10,0,0,2,,22,11,55,11,0,35,0,0,87,11,217,2,0,22,3,15.31,,35,29,6,22,8,,277,57.23,2,0,8,334,6,81,27,7,,0,4,5,0,60.0,0,3,0,0,694,16,0,0,1,0,0,0,0,0,0,100.77,7.5,40,93,103,50,91,160,64.52,0,18,10,55.56,77,164,248,126,284,56.69,96,2076,298,2248,291.6,196,22,3207,99,4,0
Ángel Jiménez,1089219,Granada,33779,spain,2021,90,1,1,8.0,0,0,0,,,1,0,0.0,0,9,36.0,8,6,14,45.16,1,100.0,0,0,0,0,,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0.0,,2,2,0,0,0,,0,0.0,0,0,0,17,0,0,0,0,,0,0,0,0,0.0,2,0,1,0,17,0,1,0,0,0,5,2,7,0,1,0.0,0.0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,2,0,0,1,100.0,25,19,12,31,8.0,0,1,40,0,0,0
Toni Kroos,26502,Real Madrid,2829,spain,2021,2121,28,24,7.68,3,10,13,,,182,37,29.37,624,229,87.07,1228,701,1892,93.62,12,60.0,8,0,0,0,,11,3,5,7,9,28,0,0,8,33,78,0,3,27,1,8.82,,21,19,2,0,3,,89,55.97,0,0,0,129,15,67,0,1,,0,0,0,0,0.0,0,0,0,0,253,20,0,0,3,0,0,0,0,0,0,707.0,100.0,1,8,26,17,12,16,88.89,0,42,22,52.38,67,226,18,126,101,56.42,263,1415,732,2021,214.9,34,8,2384,31,6,0
Gerard Moreno,146866,Villarreal,2819,spain,2021,2682,33,30,7.56,23,7,30,,,39,14,40.0,280,58,61.7,497,253,736,69.7,62,47.69,68,0,0,0,,14,10,19,4,25,33,0,0,59,27,233,0,0,44,0,23.71,,34,32,2,21,2,,153,48.11,0,0,5,320,15,44,19,19,,0,0,10,0,100.0,0,10,0,0,551,20,0,0,4,0,0,0,0,0,0,116.61,0.0,0,82,15,31,47,71,62.28,0,24,15,62.5,44,81,114,35,215,47.99,94,772,319,1056,249.5,97,10,1687,58,3,0
Iago Aspas,19356,Celta Vigo,2821,spain,2021,2870,33,33,7.46,14,13,27,,,36,7,25.0,416,49,80.33,689,283,965,78.84,17,27.42,45,0,0,0,,16,7,7,6,20,33,0,0,27,21,141,0,0,24,1,28.0,,44,38,6,12,2,,123,56.16,0,0,3,259,16,64,9,13,,0,2,5,1,100.0,0,5,0,0,409,24,0,0,5,0,0,0,0,0,0,205.0,16.67,6,40,10,16,27,60,70.59,0,11,3,27.27,62,56,85,28,140,49.82,61,924,328,1224,246.3,50,8,1688,53,9,0
Karim Benzema,3306,Real Madrid,2829,spain,2021,2901,34,33,7.44,23,9,32,,,29,5,27.78,459,43,82.69,755,273,1023,84.62,26,38.81,41,0,0,0,,10,19,25,10,24,34,0,0,39,10,125,0,0,17,0,18.7,,24,23,1,19,4,,72,46.15,6,0,7,186,8,38,5,23,,0,0,1,0,100.0,0,1,0,0,328,18,0,0,12,0,0,0,0,0,0,126.13,0.0,6,91,32,43,55,39,62.9,0,8,6,75.0,38,46,62,18,98,43.95,52,925,302,1209,253.0,123,7,1639,25,2,0
Ansu Fati,962883,Barcelona,2817,spain,2021,436,7,6,7.34,4,0,4,,,4,2,50.0,88,0,0.0,138,29,165,83.76,2,33.33,4,0,0,0,,3,1,1,0,0,7,0,0,8,8,37,0,0,6,0,28.57,,5,5,0,4,0,,31,48.44,0,0,0,32,3,9,0,2,,0,0,0,0,0.0,0,0,0,2,70,4,0,0,4,0,0,0,0,0,0,109.0,0.0,0,12,2,6,7,11,47.83,0,9,4,44.44,9,5,23,4,33,47.14,0,166,35,197,51.4,14,2,299,11,1,0
Dani Parejo,39182,Villarreal,2819,spain,2021,3119,36,36,7.34,3,4,7,,,141,42,37.5,696,177,74.68,1472,977,2407,90.22,24,50.0,24,0,0,0,,7,0,5,5,18,36,0,0,21,48,136,0,3,32,1,11.11,,43,39,4,0,3,,162,59.12,0,0,0,261,45,44,0,0,,0,1,0,0,0.0,0,0,0,0,399,16,0,0,3,0,0,0,0,0,0,1039.67,16.67,6,7,20,13,9,37,75.51,0,65,40,61.54,43,200,49,112,186,57.76,237,1728,1052,2668,264.2,27,4,3187,60,5,0
Luka Modrić,15466,Real Madrid,2829,spain,2021,2743,35,32,7.31,5,3,8,,,143,15,18.99,667,164,79.23,1239,724,1948,88.14,19,47.5,21,0,0,0,,7,0,16,6,11,35,0,0,33,23,124,0,1,30,0,11.11,,23,21,2,5,0,,125,54.82,1,0,1,262,48,50,2,1,,0,0,0,0,0.0,0,0,0,0,428,31,0,0,2,0,0,0,0,0,0,548.6,0.0,1,17,28,14,15,55,74.32,0,37,23,62.16,50,198,74,79,144,53.73,207,1493,796,2210,255.8,45,7,2703,33,4,0
Kieran Trippier,69256,Atlético Madrid,2836,spain,2021,2477,28,28,7.29,0,6,6,,,73,34,32.38,378,66,45.52,698,519,1183,79.4,41,63.08,24,0,0,0,,7,0,1,16,47,28,0,0,7,26,92,0,1,30,0,0.0,,13,13,0,0,0,,94,58.02,0,0,0,307,40,35,0,6,,0,1,0,0,0.0,0,0,0,0,450,8,0,0,0,0,0,0,0,0,0,0.0,0.0,1,1,2,1,1,19,76.0,0,61,39,63.93,34,145,25,105,135,59.47,145,998,597,1490,204.2,3,1,2121,15,0,0
